Dual_Plate_ID,i7_Plate_ID,i5_Plate_ID
Dual-001,CZB-TRUSEQ-8-12BP-i7-PLATE-001,CZB-TRUSEQ-8-12BP-i5-PLATE-001
Dual-002,CZB-TRUSEQ-8-12BP-i7-PLATE-002,CZB-TRUSEQ-8-12BP-i5-PLATE-002
Dual-003,CZB-TRUSEQ-8-12BP-i7-PLATE-003,CZB-TRUSEQ-8-12BP-i5-PLATE-003
Dual-004,CZB-TRUSEQ-8-12BP-i7-PLATE-004,CZB-TRUSEQ-8-12BP-i5-PLATE-004
Dual-005,CZB-TRUSEQ-8-12BP-i7-PLATE-005,CZB-TRUSEQ-8-12BP-i5-PLATE-005
Dual-006,CZB-TRUSEQ-8-12BP-i7-PLATE-006,CZB-TRUSEQ-8-12BP-i5-PLATE-006
Dual-007,CZB-TRUSEQ-8-12BP-i7-PLATE-007,CZB-TRUSEQ-8-12BP-i5-PLATE-007
Dual-008,CZB-TRUSEQ-8-12BP-i7-PLATE-008,CZB-TRUSEQ-8-12BP-i5-PLATE-008
Dual-009,CZB-TRUSEQ-8-12BP-i7-PLATE-009,CZB-TRUSEQ-8-12BP-i5-PLATE-009
Dual-010,CZB-TRUSEQ-8-12BP-i7-PLATE-010,CZB-TRUSEQ-8-12BP-i5-PLATE-010
Dual-011,CZB-TRUSEQ-8-12BP-i7-PLATE-011,CZB-TRUSEQ-8-12BP-i5-PLATE-011
Dual-012,CZB-TRUSEQ-8-12BP-i7-PLATE-012,CZB-TRUSEQ-8-12BP-i5-PLATE-012
Dual-013,CZB-TRUSEQ-8-12BP-i7-PLATE-001,CZB-TRUSEQ-8-12BP-i5-PLATE-002
Dual-014,CZB-TRUSEQ-8-12BP-i7-PLATE-002,CZB-TRUSEQ-8-12BP-i5-PLATE-003
Dual-015,CZB-TRUSEQ-8-12BP-i7-PLATE-003,CZB-TRUSEQ-8-12BP-i5-PLATE-004
Dual-016,CZB-TRUSEQ-8-12BP-i7-PLATE-004,CZB-TRUSEQ-8-12BP-i5-PLATE-005
Dual-017,CZB-TRUSEQ-8-12BP-i7-PLATE-005,CZB-TRUSEQ-8-12BP-i5-PLATE-006
Dual-018,CZB-TRUSEQ-8-12BP-i7-PLATE-006,CZB-TRUSEQ-8-12BP-i5-PLATE-007
Dual-019,CZB-TRUSEQ-8-12BP-i7-PLATE-007,CZB-TRUSEQ-8-12BP-i5-PLATE-008
Dual-020,CZB-TRUSEQ-8-12BP-i7-PLATE-008,CZB-TRUSEQ-8-12BP-i5-PLATE-009
Dual-021,CZB-TRUSEQ-8-12BP-i7-PLATE-009,CZB-TRUSEQ-8-12BP-i5-PLATE-010
Dual-022,CZB-TRUSEQ-8-12BP-i7-PLATE-010,CZB-TRUSEQ-8-12BP-i5-PLATE-011
Dual-023,CZB-TRUSEQ-8-12BP-i7-PLATE-011,CZB-TRUSEQ-8-12BP-i5-PLATE-012
Dual-024,CZB-TRUSEQ-8-12BP-i7-PLATE-012,CZB-TRUSEQ-8-12BP-i5-PLATE-001
Dual-025,CZB-TRUSEQ-8-12BP-i7-PLATE-001,CZB-TRUSEQ-8-12BP-i5-PLATE-003
Dual-026,CZB-TRUSEQ-8-12BP-i7-PLATE-002,CZB-TRUSEQ-8-12BP-i5-PLATE-004
Dual-027,CZB-TRUSEQ-8-12BP-i7-PLATE-003,CZB-TRUSEQ-8-12BP-i5-PLATE-005
Dual-028,CZB-TRUSEQ-8-12BP-i7-PLATE-004,CZB-TRUSEQ-8-12BP-i5-PLATE-006
Dual-029,CZB-TRUSEQ-8-12BP-i7-PLATE-005,CZB-TRUSEQ-8-12BP-i5-PLATE-007
Dual-030,CZB-TRUSEQ-8-12BP-i7-PLATE-006,CZB-TRUSEQ-8-12BP-i5-PLATE-008
Dual-031,CZB-TRUSEQ-8-12BP-i7-PLATE-007,CZB-TRUSEQ-8-12BP-i5-PLATE-009
Dual-032,CZB-TRUSEQ-8-12BP-i7-PLATE-008,CZB-TRUSEQ-8-12BP-i5-PLATE-010
Dual-033,CZB-TRUSEQ-8-12BP-i7-PLATE-009,CZB-TRUSEQ-8-12BP-i5-PLATE-011
Dual-034,CZB-TRUSEQ-8-12BP-i7-PLATE-010,CZB-TRUSEQ-8-12BP-i5-PLATE-012
Dual-035,CZB-TRUSEQ-8-12BP-i7-PLATE-011,CZB-TRUSEQ-8-12BP-i5-PLATE-001
Dual-036,CZB-TRUSEQ-8-12BP-i7-PLATE-012,CZB-TRUSEQ-8-12BP-i5-PLATE-002
Dual-037,CZB-TRUSEQ-8-12BP-i7-PLATE-001,CZB-TRUSEQ-8-12BP-i5-PLATE-004
Dual-038,CZB-TRUSEQ-8-12BP-i7-PLATE-002,CZB-TRUSEQ-8-12BP-i5-PLATE-005
Dual-039,CZB-TRUSEQ-8-12BP-i7-PLATE-003,CZB-TRUSEQ-8-12BP-i5-PLATE-006
Dual-040,CZB-TRUSEQ-8-12BP-i7-PLATE-004,CZB-TRUSEQ-8-12BP-i5-PLATE-007
Dual-041,CZB-TRUSEQ-8-12BP-i7-PLATE-005,CZB-TRUSEQ-8-12BP-i5-PLATE-008
Dual-042,CZB-TRUSEQ-8-12BP-i7-PLATE-006,CZB-TRUSEQ-8-12BP-i5-PLATE-009
