well_location_384,well_location_96,plate_quadrant_ID
A1,A1,Plate_A1
A2,A1,Plate_A2
A3,A2,Plate_A1
A4,A2,Plate_A2
A5,A3,Plate_A1
A6,A3,Plate_A2
A7,A4,Plate_A1
A8,A4,Plate_A2
A9,A5,Plate_A1
A10,A5,Plate_A2
A11,A6,Plate_A1
A12,A6,Plate_A2
A13,A7,Plate_A1
A14,A7,Plate_A2
A15,A8,Plate_A1
A16,A8,Plate_A2
A17,A9,Plate_A1
A18,A9,Plate_A2
A19,A10,Plate_A1
A20,A10,Plate_A2
A21,A11,Plate_A1
A22,A11,Plate_A2
A23,A12,Plate_A1
A24,A12,Plate_A2
B1,A1,Plate_B1
B2,A1,Plate_B2
B3,A2,Plate_B1
B4,A2,Plate_B2
B5,A3,Plate_B1
B6,A3,Plate_B2
B7,A4,Plate_B1
B8,A4,Plate_B2
B9,A5,Plate_B1
B10,A5,Plate_B2
B11,A6,Plate_B1
B12,A6,Plate_B2
B13,A7,Plate_B1
B14,A7,Plate_B2
B15,A8,Plate_B1
B16,A8,Plate_B2
B17,A9,Plate_B1
B18,A9,Plate_B2
B19,A10,Plate_B1
B20,A10,Plate_B2
B21,A11,Plate_B1
B22,A11,Plate_B2
B23,A12,Plate_B1
B24,A12,Plate_B2
C1,B1,Plate_A1
C2,B1,Plate_A2
C3,B2,Plate_A1
C4,B2,Plate_A2
C5,B3,Plate_A1
C6,B3,Plate_A2
C7,B4,Plate_A1
C8,B4,Plate_A2
C9,B5,Plate_A1
C10,B5,Plate_A2
C11,B6,Plate_A1
C12,B6,Plate_A2
C13,B7,Plate_A1
C14,B7,Plate_A2
C15,B8,Plate_A1
C16,B8,Plate_A2
C17,B9,Plate_A1
C18,B9,Plate_A2
C19,B10,Plate_A1
C20,B10,Plate_A2
C21,B11,Plate_A1
C22,B11,Plate_A2
C23,B12,Plate_A1
C24,B12,Plate_A2
D1,B1,Plate_B1
D2,B1,Plate_B2
D3,B2,Plate_B1
D4,B2,Plate_B2
D5,B3,Plate_B1
D6,B3,Plate_B2
D7,B4,Plate_B1
D8,B4,Plate_B2
D9,B5,Plate_B1
D10,B5,Plate_B2
D11,B6,Plate_B1
D12,B6,Plate_B2
D13,B7,Plate_B1
D14,B7,Plate_B2
D15,B8,Plate_B1
D16,B8,Plate_B2
D17,B9,Plate_B1
D18,B9,Plate_B2
D19,B10,Plate_B1
D20,B10,Plate_B2
D21,B11,Plate_B1
D22,B11,Plate_B2
D23,B12,Plate_B1
D24,B12,Plate_B2
E1,C1,Plate_A1
E2,C1,Plate_A2
E3,C2,Plate_A1
E4,C2,Plate_A2
E5,C3,Plate_A1
E6,C3,Plate_A2
E7,C4,Plate_A1
E8,C4,Plate_A2
E9,C5,Plate_A1
E10,C5,Plate_A2
E11,C6,Plate_A1
E12,C6,Plate_A2
E13,C7,Plate_A1
E14,C7,Plate_A2
E15,C8,Plate_A1
E16,C8,Plate_A2
E17,C9,Plate_A1
E18,C9,Plate_A2
E19,C10,Plate_A1
E20,C10,Plate_A2
E21,C11,Plate_A1
E22,C11,Plate_A2
E23,C12,Plate_A1
E24,C12,Plate_A2
F1,C1,Plate_B1
